Temperature,Voltage,Current,Power,AverageNumber2,AverageNumberA,AverageNumberS
50.0,1.2403694434454957,134.28629677496025,166.5646191931141,0.3595179100591039,0.5538974089611836,0.16513841115702416
100.0,1.2403871782291649,134.31782371078276,166.60610633850024,0.4158599049663677,0.6047548739685907,0.22696493596414463
150.0,1.2404270270342086,134.38856887335064,166.69921295495232,0.5746880972159367,0.7363734567835729,0.41300273764829976
200.0,1.240446524666794,134.42179735131606,166.74305136390404,0.6835890482563363,0.8332926383720184,0.5338854581406531
250.0,1.2404582435331604,134.44293834060747,166.77085114942693,0.7885277238112374,0.9262995346628989,0.6507559129595758
300.0,1.240462729920219,134.45008367117285,166.78031782874496,0.8995982315623123,1.0211488202858157,0.7780476428388093
350.0,1.2404611437211222,134.4477563613269,166.77721762671032,1.002280767094744,1.10821071687014,0.8963508173193492
400.0,1.2404544905068222,134.43585769238908,166.76156335966016,1.1003738039506494,1.1912615532490904,1.0094860546522084
450.0,1.2404446364457715,134.41840432584536,166.73858868559398,1.1899493781620296,1.2677147119432361,1.1121840443808246
500.0,1.240432852232063,134.39758077229166,166.7111744504628,1.2713347163427218,1.3378932950832885,1.2047761376021524
550.0,1.2404200591819816,134.3749499346656,166.68138335053374,1.3452859040320722,1.4022416026465234,1.2883302054176209
600.0,1.2404068944678721,134.35162801642676,166.65068567455867,1.4123815012564704,1.4611940983313592,1.3635689041815822
650.0,1.240393783214715,134.32836323295717,166.62006666356817,1.473248982984753,1.5151979306515895,1.4313000353179166
700.0,1.240380990176124,134.30564536858384,166.59016938852739,1.5284372032423381,1.5646891719644145,1.4921852345202606
750.0,1.2403686860712473,134.28374749683655,166.5613554433743,1.578694955860361,1.6100919819727484,1.5472979297479725
800.0,1.240357201356589,134.26245321045258,166.53340071138692,1.6241175459931223,1.6514531414829268,1.5967819505033185
850.0,1.2403460440290088,134.2426268920015,166.5073112055563,1.6658971101804423,1.689832239250996,1.6419619811098873
900.0,1.2403355040736177,134.22385953447625,166.48261847440105,1.704105621664262,1.7251793263313544,1.6830319169971706
950.0,1.2403255749041346,134.20617998247943,166.45935734245657,1.7392024867193194,1.7578311239035072,1.720573849535131
1000.0,1.2403162374097239,134.1895715421285,166.43750447475577,1.7715367902950097,1.7880616978346675,1.7550118827553496
1050.0,1.2403074592024674,134.17397069638386,166.41697668553817,1.8013704188755384,1.8160883875348373,1.786652450216237
1100.0,1.2402992043763983,134.1592706075711,166.39763659428834,1.8289168403065614,1.842091158923512,1.8157425216896101
1150.0,1.2402914412066324,134.14545244545442,166.37945654488843,1.8544492603752596,1.8662873741415202,1.8426111466089972
1200.0,1.2402841341416997,134.13243512503016,166.36233115936574,1.8781568189852726,1.8888367729833277,1.8674768649872162
1250.0,1.2402772490618834,134.120156853299,166.346179185758,1.9002215752188132,1.909892509636449,1.8905506408011759
1300.0,1.240270760909736,134.10863337949573,166.331016766152,1.920825349282071,1.9296085210342364,1.9120421775299044
1350.0,1.2402646302182379,134.09770606595598,166.31664182700683,1.9400727566120015,1.9480780033666802,1.9320675098573212
1400.0,1.2402588311576908,134.0873595579578,166.30303183837376,1.9581022772847214,1.9654203432902528,1.950784211279188
1450.0,1.2402533481861602,134.0776200943689,166.29021723887303,1.9750321987311135,1.981740279776792,1.968324117685435
1500.0,1.2402481384150614,134.0683148700824,166.27797793806397,1.9909447009140706,1.9971099723618404,1.9847794294663004
2500.0,1.2401801336261227,133.94714084909606,166.11858303706902,2.183856664706663,2.185518906656766,2.182194422756559
3500.0,1.2401419318798064,133.87899379016974,166.0289539970657,2.2710833062610716,2.2717566627487855,2.270409949773358
4500.0,1.240113122517614,133.8275820229635,165.96134062147937,2.320639298438866,2.32097385025742,2.320304746620313
5500.0,1.2400880505214857,133.78284228482474,165.9025040822117,2.3525588322644175,2.352746951718543,2.3523707128102935
6500.0,1.2400647411849672,133.74120782715804,165.84775626994966,2.3748247114826264,2.374939918110856,2.374709504854394
7500.0,1.2400424474040366,133.7013940899742,165.7954039486632,2.3912378442342974,2.3913131045507314,2.391162583917865
8500.0,1.2400208364836953,133.66280293964004,165.74466070796777,2.4038366837609764,2.4038884741104436,2.403784893411509
9500.0,1.2399997411852355,133.6251024706873,165.69509247950282,2.41381208517787,2.41384931102737,2.4137748593283677
10500.0,1.239979096863401,133.5881980574153,165.64657317884297,2.4219061586414967,2.4219339288841715,2.421878388398822
11500.0,1.2399588642683432,133.5520197648802,165.5990107484042,2.4286053578560645,2.4286267460874154,2.4285839696247113
12500.0,1.2399390250349132,133.51654571655965,165.55237552182038,2.4342418007300113,2.4342587307742414,2.4342248706857808
13500.0,1.2399195579057385,133.48172716238963,165.50660413168455,2.4390499569588346,2.439063674887897,2.43903623902977
14500.0,1.2399004452982938,133.44752329487727,165.46164355727277,2.443200066069526,2.4432114039228168,2.443188728216235
15500.0,1.2398816853005046,133.41395267606043,165.41751648659556,2.44681871403612,2.446828242998059,2.4468091850741778
16500.0,1.2398632612201224,133.38097476738798,165.37417035981252,2.4500019781626143,2.450010100509269,2.4499938558159577
17500.0,1.2398451571195774,133.3485519148937,165.3315563005895,2.4528240928980765,2.452831098784013,2.452817087012137
18500.0,1.2398273705786194,133.31669981628042,165.28969338743806,2.4553433214481344,2.4553494248747105,2.4553372180215565
19500.0,1.2398098854444848,133.28537984149912,165.24853151271367,2.4576060306995973,2.4576113928226233,2.457600668576572
20500.0,1.2397926906596486,133.25457313821704,165.20804577373303,2.459649579261687,2.459654323813437,2.4596448347099353
21500.0,1.2397757748667713,133.22425912322515,165.16820908554797,2.461504403458503,2.46150862715325,2.4615001797637577
